edition_year,team,matches_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,penalties_won,penalties_conceded,penalty_kicks_attempted,source_url
2016,Ecuador,4,57,48,5,2,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Haiti,3,41,35,5,0,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Jamaica,3,49,28,5,1,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Mexico,4,51,58,4,1,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Panama,3,48,50,13,1,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Paraguay,3,46,56,8,1,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Peru,4,60,59,5,0,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,United States,6,83,77,8,1,,,1,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Uruguay,3,38,46,4,1,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Venezuela,4,69,56,8,0,,,2,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2019,Argentina,6,106,93,2,0,,,1,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Bolivia,3,30,35,6,0,,,1,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Brazil,6,102,104,4,1,,,3,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Chile,6,112,106,5,0,,,2,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Colombia,4,60,57,7,0,,,0,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Ecuador,3,48,48,8,2,,,1,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Japan,3,52,39,5,0,,,0,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Paraguay,4,69,64,6,0,,,2,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Peru,6,109,88,3,0,,,1,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Qatar,3,38,35,11,0,,,0,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Uruguay,4,58,66,2,0,,,1,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2019,Venezuela,4,60,48,4,1,,,0,https://web.archive.org/web/20200928140837/https://fbref.com/en/comps/685/10343/misc/2019-Copa-America-Stats
2021,Argentina,7,,,18,0,,,1,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2021,Bolivia,4,,,11,1,,,1,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2021,Brazil,7,,,12,1,,,1,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2021,Chile,5,,,11,0,,,1,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2021,Colombia,7,,,19,1,,,1,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2021,Ecuador,5,,,9,1,,,0,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2021,Paraguay,5,,,10,1,,,1,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2021,Peru,7,,,14,1,,,0,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2021,Uruguay,5,,,4,0,,,1,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2021,Venezuela,4,,,8,0,,,0,https://web.archive.org/web/20221128020519/https://fbref.com/en/comps/685/stats/Copa-America-Stats
2024,Argentina,6,61,81,8,0,0,1,1,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Bolivia,3,48,25,7,0,0,0,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Brazil,4,55,63,9,0,0,0,2,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Canada,6,84,66,17,0,0,0,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Chile,3,39,39,7,1,0,0,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Colombia,6,94,81,13,1,3,0,3,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Costa Rica,3,35,45,6,0,0,1,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Ecuador,4,54,55,5,1,0,0,2,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Jamaica,3,29,28,5,0,0,1,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Mexico,3,36,25,7,0,0,1,1,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Panama,4,56,47,8,1,0,2,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Paraguay,3,47,33,7,1,0,2,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Peru,3,55,43,6,1,0,1,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,United States,3,24,43,5,1,0,0,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Uruguay,6,90,79,8,1,0,0,0,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
2024,Venezuela,4,40,46,6,0,1,1,1,https://web.archive.org/web/20250714165820/https://fbref.com/en/comps/685/misc/Copa-America-Stats
