competition,year,player,team,pos,minutes,tackles_won,fouls_committed,fouls_drawn,cards,fpt,cpf
FIFA World Cup,2018,Gabriel Gómez,Panama,MF,248,4,5,5,1,1.25,0.2
FIFA World Cup,2018,Michael Amir Murillo,Panama,DF,180,3,6,2,2,2.0,0.33
FIFA World Cup,2018,Edison Flores,Peru,FW,241,5,3,2,0,0.6,0.0
FIFA World Cup,2018,Luis Advíncula,Peru,DF,270,7,2,8,0,0.29,0.0
FIFA World Cup,2018,Miguel Trauco,Peru,DF,261,3,2,1,0,0.67,0.0
FIFA World Cup,2018,Grzegorz Krychowiak,Poland,MF,270,5,3,8,1,0.6,0.33
FIFA World Cup,2018,Jacek Góralski,Poland,MF,180,10,3,3,1,0.3,0.33
FIFA World Cup,2018,Maciej Rybus,Poland,MF,180,3,2,1,0,0.67,0.0
FIFA World Cup,2018,Piotr Zieliński,Poland,MF,258,4,2,3,0,0.5,0.0
FIFA World Cup,2018,Bernardo Silva,Portugal,MF,238,6,2,4,0,0.33,0.0
FIFA World Cup,2018,Cédric Soares,Portugal,DF,270,5,6,2,1,1.2,0.17
FIFA World Cup,2018,João Moutinho,Portugal,MF,185,7,6,4,0,0.86,0.0
FIFA World Cup,2018,João Mário,Portugal,MF,259,3,5,3,0,1.67,0.0
FIFA World Cup,2018,Pepe,Portugal,DF,360,5,3,4,0,0.6,0.0
FIFA World Cup,2018,Raphaël Guerreiro,Portugal,DF,360,4,6,5,1,1.5,0.17
FIFA World Cup,2018,William Carvalho,Portugal,MF,360,6,6,4,0,1.0,0.0
FIFA World Cup,2018,Aleksandr Golovin,Russia,MF,401,5,16,4,1,3.2,0.06
FIFA World Cup,2018,Aleksandr Samedov,Russia,FW,356,5,8,8,0,1.6,0.0
FIFA World Cup,2018,Daler Kuzyaev,Russia,MF,305,5,6,2,0,1.2,0.0
FIFA World Cup,2018,Denis Cheryshev,Russia,FW,303,6,7,1,0,1.17,0.0
FIFA World Cup,2018,Mário Fernandes,Russia,DF,473,7,4,6,0,0.57,0.0
FIFA World Cup,2018,Roman Zobnin,Russia,MF,510,11,8,9,1,0.73,0.12
FIFA World Cup,2018,Sergei Ignashevich,Russia,DF,510,5,2,3,0,0.4,0.0
FIFA World Cup,2018,Yuri Gazinskiy,Russia,MF,267,4,6,3,2,1.5,0.33
FIFA World Cup,2018,Yuri Zhirkov,Russia,DF,220,3,3,1,0,1.0,0.0
FIFA World Cup,2018,Abdullah Otayf,Saudi Arabia,MF,243,3,2,8,0,0.67,0.0
FIFA World Cup,2018,Mohammed Al-Breik,Saudi Arabia,DF,270,6,0,9,0,0.0,
FIFA World Cup,2018,Osama Hawsawi,Saudi Arabia,DF,270,6,3,4,0,0.5,0.0
FIFA World Cup,2018,Salem Al-Dawsari,Saudi Arabia,MF,270,5,4,6,0,0.8,0.0
FIFA World Cup,2018,Yasser Al-Shahrani,Saudi Arabia,DF,270,5,4,2,0,0.8,0.0
FIFA World Cup,2018,Idrissa Gueye,Senegal,MF,270,7,6,2,1,0.86,0.17
FIFA World Cup,2018,Kalidou Koulibaly,Senegal,DF,270,3,4,0,0,1.33,0.0
FIFA World Cup,2018,Sadio Mané,Senegal,MF,270,3,7,6,0,2.33,0.0
FIFA World Cup,2018,Aleksandar Mitrović,Serbia,FW,266,4,5,7,2,1.25,0.4
FIFA World Cup,2018,Branislav Ivanović,Serbia,DF,180,6,1,4,1,0.17,1.0
FIFA World Cup,2018,Dušan Tadić,Serbia,FW,261,6,4,4,0,0.67,0.0
FIFA World Cup,2018,Duško Tošić,Serbia,DF,180,4,4,4,0,1.0,0.0
FIFA World Cup,2018,Nemanja Matić,Serbia,MF,270,6,7,5,2,1.17,0.29
FIFA World Cup,2018,Nikola Milenković,Serbia,DF,270,3,1,1,0,0.33,0.0
FIFA World Cup,2018,Hwang Hee-chan,South Korea,FW,203,8,5,5,1,0.62,0.2
FIFA World Cup,2018,Lee Jae-sung,South Korea,MF,270,4,6,1,1,1.5,0.17
FIFA World Cup,2018,Lee Yong,South Korea,DF,270,9,6,5,1,0.67,0.17
FIFA World Cup,2018,Dani Carvajal,Spain,DF,231,3,2,2,0,0.67,0.0
FIFA World Cup,2018,Jordi Alba,Spain,DF,390,3,2,3,0,0.67,0.0
FIFA World Cup,2018,Koke,Spain,MF,230,4,0,1,0,0.0,
FIFA World Cup,2018,Sergio Busquets,Spain,MF,390,4,5,12,1,1.25,0.2
FIFA World Cup,2018,Sergio Ramos,Spain,DF,390,6,4,4,0,0.67,0.0
FIFA World Cup,2018,Albin Ekdal,Sweden,MF,419,6,1,8,1,0.17,1.0
FIFA World Cup,2018,Emil Forsberg,Sweden,MF,415,3,3,10,0,1.0,0.0
FIFA World Cup,2018,Ludwig Augustinsson,Sweden,DF,450,5,3,2,0,0.6,0.0
FIFA World Cup,2018,Marcus Berg,Sweden,FW,425,3,15,11,0,5.0,0.0
FIFA World Cup,2018,Sebastian Larsson,Sweden,MF,316,3,9,2,3,3.0,0.33
FIFA World Cup,2018,Viktor Claesson,Sweden,MF,433,5,5,6,1,1.0,0.2
FIFA World Cup,2018,Blerim Džemaili,Switzerland,MF,324,6,8,4,0,1.33,0.0
FIFA World Cup,2018,Fabian Schär,Switzerland,DF,270,4,4,4,2,1.0,0.5
FIFA World Cup,2018,Granit Xhaka,Switzerland,MF,360,5,4,4,1,0.8,0.25
FIFA World Cup,2018,Manuel Akanji,Switzerland,DF,360,9,3,6,0,0.33,0.0
FIFA World Cup,2018,Ricardo Rodríguez,Switzerland,DF,360,4,5,3,0,1.25,0.0
FIFA World Cup,2018,Stephan Lichtsteiner,Switzerland,DF,266,6,2,4,2,0.33,1.0
FIFA World Cup,2018,Valon Behrami,Switzerland,MF,308,8,10,5,2,1.25,0.2
FIFA World Cup,2018,Xherdan Shaqiri,Switzerland,FW,350,4,3,9,1,0.75,0.33
FIFA World Cup,2018,Ellyes Skhiri,Tunisia,MF,270,5,6,1,0,1.2,0.0
FIFA World Cup,2018,Fakhreddine Ben Youssef,Tunisia,MF,270,3,3,6,0,1.0,0.0
FIFA World Cup,2018,Diego Godín,Uruguay,DF,450,5,5,5,0,1.0,0.0
FIFA World Cup,2018,Diego Laxalt,Uruguay,DF,302,3,4,5,0,1.33,0.0
FIFA World Cup,2018,Edinson Cavani,Uruguay,FW,342,4,4,6,0,1.0,0.0
FIFA World Cup,2018,Guillermo Varela,Uruguay,DF,180,4,0,2,0,0.0,
FIFA World Cup,2018,José María Giménez,Uruguay,DF,360,4,3,1,0,0.75,0.0
FIFA World Cup,2018,Lucas Torreira,Uruguay,MF,306,4,4,7,0,1.0,0.0
FIFA World Cup,2018,Matías Vecino,Uruguay,MF,414,4,9,3,0,2.25,0.0
FIFA World Cup,2018,Nahitan Nández,Uruguay,MF,290,7,6,7,0,0.86,0.0
FIFA World Cup,2018,Rodrigo Bentancur,Uruguay,MF,362,5,8,7,2,1.6,0.25
FIFA World Cup,2022,Alexis Mac Allister,Argentina,MF,550,4,1,13,0,0.25,0.0
FIFA World Cup,2022,Cristian Romero,Argentina,DF,547,3,12,3,2,4.0,0.17
FIFA World Cup,2022,Enzo Fernández,Argentina,MF,564,15,7,6,1,0.47,0.14
FIFA World Cup,2022,Leandro Paredes,Argentina,MF,225,4,6,5,2,1.5,0.33
FIFA World Cup,2022,Lionel Messi,Argentina,FW,690,3,10,22,1,3.33,0.1
FIFA World Cup,2022,Marcos Acuña,Argentina,DF,373,8,9,9,3,1.12,0.33
FIFA World Cup,2022,Nahuel Molina,Argentina,DF,567,4,3,0,0,0.75,0.0
FIFA World Cup,2022,Nicolás Otamendi,Argentina,DF,690,6,13,5,2,2.17,0.15
FIFA World Cup,2022,Nicolás Tagliafico,Argentina,DF,373,7,6,6,0,0.86,0.0
FIFA World Cup,2022,Rodrigo De Paul,Argentina,MF,599,6,7,15,0,1.17,0.0
FIFA World Cup,2022,Aaron Mooy,Australia,MF,360,6,4,1,1,0.67,0.25
FIFA World Cup,2022,Aziz Behich,Australia,DF,360,3,3,3,1,1.0,0.33
FIFA World Cup,2022,Craig Goodwin,Australia,MF,234,3,1,2,0,0.33,0.0
FIFA World Cup,2022,Mathew Leckie,Australia,MF,333,4,8,6,0,2.0,0.0
FIFA World Cup,2022,Miloš Degenek,Australia,DF,183,4,2,8,2,0.5,1.0
FIFA World Cup,2022,Thomas Meunier,Belgium,MF,211,6,4,1,1,0.67,0.25
FIFA World Cup,2022,Timothy Castagne,Belgium,MF,270,4,3,1,0,0.75,0.0
FIFA World Cup,2022,Alex Sandro,Brazil,DF,190,3,3,2,0,1.0,0.0
FIFA World Cup,2022,Casemiro,Brazil,MF,390,4,7,3,1,1.75,0.14
FIFA World Cup,2022,Lucas Paquetá,Brazil,MF,314,5,4,2,0,0.8,0.0
FIFA World Cup,2022,Marquinhos,Brazil,DF,426,4,1,2,1,0.25,1.0
FIFA World Cup,2022,Raphinha,Brazil,FW,315,6,2,5,0,0.33,0.0
FIFA World Cup,2022,Éder Militão,Brazil,DF,347,6,7,3,1,1.17,0.14
FIFA World Cup,2022,Jean-Charles Castelletto,Cameroon,DF,180,3,1,1,0,0.33,0.0
FIFA World Cup,2022,Nouhou Tolo,Cameroon,DF,270,5,3,1,1,0.6,0.33
FIFA World Cup,2022,Alistair Johnston,Canada,DF,270,3,5,3,1,1.67,0.2
FIFA World Cup,2022,Kamal Miller,Canada,DF,270,4,0,3,1,0.0,
FIFA World Cup,2022,Steven Vitória,Canada,DF,270,3,6,5,1,2.0,0.17
FIFA World Cup,2022,Bryan Oviedo,Costa Rica,DF,260,5,2,4,0,0.4,0.0
FIFA World Cup,2022,Francisco Calvo,Costa Rica,DF,180,4,6,0,2,1.5,0.33
FIFA World Cup,2022,Joel Campbell,Costa Rica,MF,269,5,3,11,1,0.6,0.33
FIFA World Cup,2022,Kendall Waston,Costa Rica,DF,225,4,1,0,0,0.25,0.0
FIFA World Cup,2022,Keysher Fuller,Costa Rica,DF,253,4,2,4,0,0.5,0.0
FIFA World Cup,2022,Borna Sosa,Croatia,DF,424,6,4,2,0,0.67,0.0
FIFA World Cup,2022,Bruno Petković,Croatia,FW,234,4,3,11,1,0.75,0.33
FIFA World Cup,2022,Ivan Perišić,Croatia,FW,669,4,10,0,0,2.5,0.0
FIFA World Cup,2022,Josip Juranović,Croatia,DF,600,8,1,6,0,0.12,0.0
FIFA World Cup,2022,Joško Gvardiol,Croatia,DF,690,6,8,6,0,1.33,0.0
FIFA World Cup,2022,Luka Modrić,Croatia,MF,653,10,13,15,1,1.3,0.08
FIFA World Cup,2022,Marcelo Brozović,Croatia,MF,552,7,12,11,1,1.71,0.08
FIFA World Cup,2022,Mario Pašalić,Croatia,FW,271,5,4,1,0,0.8,0.0
FIFA World Cup,2022,Mateo Kovačić,Croatia,MF,635,17,3,11,2,0.18,0.67
FIFA World Cup,2022,Joakim Mæhle,Denmark,MF,249,5,1,4,0,0.2,0.0
FIFA World Cup,2022,Rasmus Kristensen,Denmark,MF,224,7,2,1,1,0.29,0.5
FIFA World Cup,2022,Moisés Caicedo,Ecuador,MF,269,5,4,5,1,0.8,0.25
FIFA World Cup,2022,Pervis Estupiñán,Ecuador,DF,270,3,8,3,0,2.67,0.0
FIFA World Cup,2022,Piero Hincapié,Ecuador,DF,270,4,5,1,0,1.25,0.0
FIFA World Cup,2022,Ángelo Preciado,Ecuador,DF,264,5,8,2,0,1.6,0.0
FIFA World Cup,2022,Bukayo Saka,England,FW,288,4,7,6,0,1.75,0.0
FIFA World Cup,2022,Declan Rice,England,MF,417,5,3,2,0,0.6,0.0
FIFA World Cup,2022,Harry Maguire,England,DF,429,3,6,2,1,2.0,0.17
FIFA World Cup,2022,Jude Bellingham,England,MF,414,15,5,5,0,0.33,0.0
FIFA World Cup,2022,Kieran Trippier,England,DF,206,4,1,0,0,0.25,0.0
FIFA World Cup,2022,Adrien Rabiot,France,MF,483,9,10,4,1,1.11,0.1
FIFA World Cup,2022,Antoine Griezmann,France,MF,537,8,3,9,1,0.38,0.33
FIFA World Cup,2022,Aurélien Tchouaméni,France,MF,621,4,8,10,1,2.0,0.12
FIFA World Cup,2022,Dayot Upamecano,France,DF,480,7,4,3,0,0.57,0.0
FIFA World Cup,2022,Ibrahima Konaté,France,DF,294,6,2,4,0,0.33,0.0
FIFA World Cup,2022,Jules Koundé,France,DF,480,8,4,2,1,0.5,0.25
FIFA World Cup,2022,Ousmane Dembélé,France,MF,433,6,6,3,1,1.0,0.17
FIFA World Cup,2022,Randal Kolo Muani,France,FW,182,5,4,5,0,0.8,0.0
FIFA World Cup,2022,Theo Hernández,France,DF,508,13,6,13,1,0.46,0.17
FIFA World Cup,2022,Youssouf Fofana,France,MF,227,5,3,1,0,0.6,0.0
FIFA World Cup,2022,David Raum,Germany,DF,242,3,5,3,0,1.67,0.0
FIFA World Cup,2022,Niklas Süle,Germany,DF,269,4,0,2,0,0.0,
FIFA World Cup,2022,Abdul Rahman Baba,Ghana,MF,183,3,7,1,0,2.33,0.0
FIFA World Cup,2022,Daniel Amartey,Ghana,DF,251,4,3,1,2,0.75,0.67
FIFA World Cup,2022,Mohammed Kudus,Ghana,MF,247,4,3,5,1,0.75,0.33
FIFA World Cup,2022,Thomas Partey,Ghana,MF,270,5,3,2,0,0.6,0.0
FIFA World Cup,2022,Ahmad Nourollahi,Iran,MF,223,3,2,0,0,0.67,0.0
FIFA World Cup,2022,Ehsan Hajsafi,Iran,MF,237,3,1,3,0,0.33,0.0
FIFA World Cup,2022,Majid Hosseini,Iran,DF,270,4,4,1,1,1.0,0.25
FIFA World Cup,2022,Mehdi Taremi,Iran,FW,270,3,5,4,0,1.67,0.0
FIFA World Cup,2022,Milad Mohammadi,Iran,DF,196,3,2,1,0,0.67,0.0
FIFA World Cup,2022,Ramin Rezaeian,Iran,DF,180,5,2,3,1,0.4,0.5
FIFA World Cup,2022,Daichi Kamada,Japan,MF,322,3,1,1,0,0.33,0.0
FIFA World Cup,2022,Junya Itō,Japan,MF,324,4,0,5,0,0.0,
FIFA World Cup,2022,Ko Itakura,Japan,DF,270,5,5,0,2,1.0,0.4
FIFA World Cup,2022,Maya Yoshida,Japan,DF,390,4,3,4,1,0.75,0.33
FIFA World Cup,2022,Ritsu Doan,Japan,MF,217,5,3,4,0,0.6,0.0
FIFA World Cup,2022,Wataru Endo,Japan,MF,304,4,7,9,1,1.75,0.14
FIFA World Cup,2022,César Montes,Mexico,DF,270,3,4,0,0,1.33,0.0
FIFA World Cup,2022,Jesús Gallardo,Mexico,DF,270,5,4,1,0,0.8,0.0
FIFA World Cup,2022,Achraf Hakimi,Morocco,DF,631,17,6,13,0,0.35,0.0
FIFA World Cup,2022,Azzedine Ounahi,Morocco,MF,568,8,3,13,1,0.38,0.33
FIFA World Cup,2022,Hakim Ziyech,Morocco,FW,635,7,12,7,0,1.71,0.0
FIFA World Cup,2022,Noussair Mazraoui,Morocco,DF,365,9,3,1,0,0.33,0.0
FIFA World Cup,2022,Selim Amallah,Morocco,MF,409,9,11,8,1,1.22,0.09
FIFA World Cup,2022,Sofiane Boufal,Morocco,FW,475,5,11,13,1,2.2,0.09
FIFA World Cup,2022,Sofyan Amrabat,Morocco,MF,660,10,14,6,1,1.4,0.07
FIFA World Cup,2022,Daley Blind,Netherlands,MF,423,9,3,1,0,0.33,0.0
FIFA World Cup,2022,Denzel Dumfries,Netherlands,MF,479,5,17,7,3,3.4,0.18
FIFA World Cup,2022,Frenkie de Jong,Netherlands,MF,475,5,4,6,1,0.8,0.25
FIFA World Cup,2022,Jurriën Timber,Netherlands,DF,390,6,17,4,1,2.83,0.06
FIFA World Cup,2022,Marten de Roon,Netherlands,MF,184,5,3,0,0,0.6,0.0
FIFA World Cup,2022,Nathan Aké,Netherlands,DF,479,3,4,6,1,1.33,0.25
FIFA World Cup,2022,Teun Koopmeiners,Netherlands,MF,219,5,6,1,1,1.2,0.17
FIFA World Cup,2022,Grzegorz Krychowiak,Poland,MF,332,4,6,7,1,1.5,0.17
FIFA World Cup,2022,Krystian Bielik,Poland,MF,216,3,5,4,0,1.67,0.0
FIFA World Cup,2022,Matty Cash,Poland,DF,360,3,7,3,2,2.33,0.29
FIFA World Cup,2022,Piotr Zieliński,Poland,MF,328,5,4,2,0,0.8,0.0
FIFA World Cup,2022,Przemysław Frankowski,Poland,MF,240,4,1,5,1,0.25,1.0
FIFA World Cup,2022,Bruno Fernandes,Portugal,FW,356,3,2,8,1,0.67,0.5
