year,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against
2018,Croatia,7,6,0,1,14,9,15,0,1,12,0,2
2018,Denmark,4,1,2,1,3,2,6,0,0,1,0,1
2018,Egypt,3,0,0,3,2,6,5,0,1,1,0,1
2018,England,7,4,0,3,12,8,8,0,3,16,0,1
2018,France,7,6,1,0,14,6,12,0,3,17,0,1
2018,Germany,3,1,0,2,2,4,4,1,0,8,0,0
2018,Iceland,3,0,1,2,2,5,3,0,1,3,0,0
2018,Iran,3,1,1,1,2,2,7,0,1,5,0,0
2018,Japan,4,1,1,2,6,7,5,0,1,5,1,0
2018,Mexico,4,2,0,2,3,6,9,0,1,10,0,1
2018,Morocco,3,0,1,2,2,4,8,0,0,4,0,0
2018,Nigeria,3,1,0,2,3,4,4,0,1,5,0,1
2018,Panama,3,0,0,3,2,11,11,0,0,7,0,2
2018,Peru,3,1,0,2,2,2,5,0,0,8,0,0
2018,Poland,3,1,0,2,2,5,3,0,0,3,0,0
2018,Portugal,4,1,2,1,6,6,7,0,1,4,0,1
2018,Russia,5,3,0,2,11,7,8,1,1,8,0,1
2018,Saudi Arabia,3,1,0,2,2,7,1,0,1,3,0,0
2018,Senegal,3,1,1,1,4,4,6,0,0,4,0,0
2018,Serbia,3,1,0,2,2,4,9,0,0,3,0,0
2018,South Korea,3,1,0,2,3,3,10,0,0,1,0,2
2018,Spain,4,1,2,1,7,6,2,0,0,11,0,2
2018,Sweden,5,3,0,2,6,4,8,0,2,10,2,0
2018,Switzerland,4,1,2,1,5,5,9,1,0,9,0,0
2018,Tunisia,3,1,0,2,5,8,4,0,1,4,0,1
2018,Uruguay,5,4,0,1,7,3,3,0,0,8,1,0
2022,Argentina,7,6,0,1,15,8,17,0,4,26,1,2
2022,Australia,4,2,0,2,4,6,7,0,0,4,0,0
2022,Belgium,3,1,1,1,1,2,5,0,0,3,0,0
2022,Brazil,5,3,0,2,8,3,6,0,1,12,1,0
2022,Cameroon,3,1,1,1,4,4,8,1,0,6,0,0
2022,Canada,3,0,0,3,2,7,8,0,0,5,0,0
2022,Costa Rica,3,1,0,2,3,11,6,0,0,3,0,1
2022,Croatia,7,4,2,1,8,7,8,0,0,11,0,1
2022,Denmark,3,0,1,2,1,3,5,0,0,4,0,0
2022,Ecuador,3,1,1,1,4,3,3,0,1,5,0,1
2022,England,5,3,1,1,13,4,1,0,1,8,0,1
2022,France,7,5,0,2,16,8,8,0,2,15,0,3
2022,Germany,3,1,1,1,6,5,3,0,1,2,0,0
2022,Ghana,3,1,0,2,5,7,8,0,0,9,0,1
2022,Iran,3,1,0,2,4,7,7,0,1,2,1,0
2022,Japan,4,2,0,2,5,4,6,0,0,5,0,1
2022,Mexico,3,1,1,1,2,3,7,0,0,8,0,0
2022,Morocco,7,4,1,2,6,5,9,1,0,7,0,0
2022,Netherlands,5,3,1,1,10,4,12,1,0,11,0,1
2022,Poland,4,1,1,2,3,5,7,0,1,6,0,0
2022,Portugal,5,3,0,2,12,6,6,0,2,13,1,0
2022,Qatar,3,0,0,3,1,7,7,0,0,6,0,1
2022,Saudi Arabia,3,1,0,2,3,5,14,0,0,4,0,1
2022,Senegal,4,2,0,2,5,7,7,0,1,4,0,0
2022,Serbia,3,0,1,2,5,8,12,0,0,6,0,0
2022,South Korea,4,1,1,2,5,8,6,0,0,3,0,1
2022,Spain,4,1,1,2,9,3,2,0,1,9,0,0
2022,Switzerland,4,2,0,2,5,9,9,0,0,9,0,0
2022,Tunisia,3,1,1,1,1,1,5,0,0,2,0,0
2022,United States,4,1,2,1,3,4,5,0,0,7,0,1
2022,Uruguay,3,1,1,1,2,2,8,0,0,6,0,1
2022,Wales,3,0,1,2,1,6,5,1,1,6,0,0
