tournament_year,team,matches_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,penalties_won,penalties_conceded,penalty_kicks_attempted,source_url
2014,South Korea,3,,,6,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Spain,3,,,3,0,,,1,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Switzerland,4,,,3,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,United States,4,,,4,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Uruguay,4,,,9,0,,,1,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2018,Argentina,4,56.0,75.0,11,0,1.0,2.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Australia,3,37.0,31.0,7,0,0.0,1.0,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Belgium,7,99.0,74.0,11,0,1.0,0.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Brazil,5,49.0,72.0,7,0,0.0,0.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Colombia,4,63.0,52.0,9,1,0.0,2.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Costa Rica,3,43.0,34.0,6,0,1.0,0.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Croatia,7,112.0,107.0,15,0,2.0,2.0,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Denmark,4,54.0,29.0,6,0,0.0,3.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Egypt,3,38.0,22.0,5,0,1.0,2.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,England,7,70.0,101.0,8,0,3.0,1.0,3,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,France,7,93.0,103.0,12,0,2.0,1.0,3,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Germany,3,29.0,41.0,4,1,0.0,0.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Iceland,3,35.0,26.0,3,0,1.0,1.0,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Iran,3,44.0,45.0,7,0,0.0,1.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Japan,4,38.0,47.0,5,0,0.0,0.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Mexico,4,53.0,47.0,9,0,0.0,1.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Morocco,3,61.0,37.0,8,0,0.0,0.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Nigeria,3,45.0,44.0,4,0,1.0,2.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Panama,3,50.0,47.0,11,0,0.0,2.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Peru,3,37.0,38.0,5,0,1.0,0.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Poland,3,31.0,33.0,3,0,0.0,0.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Portugal,4,55.0,59.0,7,0,2.0,1.0,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Russia,5,95.0,56.0,8,1,0.0,1.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Saudi Arabia,3,30.0,45.0,1,0,1.0,0.0,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Senegal,3,43.0,30.0,6,0,0.0,0.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Serbia,3,44.0,38.0,9,0,0.0,0.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,South Korea,3,63.0,33.0,10,0,0.0,2.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Spain,4,34.0,58.0,2,0,0.0,2.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Sweden,5,66.0,63.0,8,0,2.0,0.0,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Switzerland,4,54.0,52.0,9,0,0.0,1.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Tunisia,3,46.0,36.0,4,0,1.0,1.0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Uruguay,5,63.0,69.0,3,0,0.0,0.0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2022,Argentina,7,100.0,115.0,19,0,5.0,2.0,5,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Australia,4,52.0,34.0,7,0,0.0,0.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Belgium,3,30.0,35.0,5,0,0.0,1.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Brazil,5,63.0,74.0,6,0,1.0,0.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Cameroon,3,32.0,38.0,8,1,0.0,0.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Canada,3,33.0,37.0,8,0,0.0,0.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Costa Rica,3,24.0,37.0,6,0,0.0,1.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Croatia,7,90.0,90.0,8,0,0.0,1.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Denmark,3,28.0,23.0,5,0,0.0,0.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Ecuador,3,50.0,37.0,3,0,1.0,1.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,England,5,53.0,65.0,1,0,2.0,1.0,2,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,France,7,69.0,85.0,8,0,1.0,4.0,2,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Germany,3,26.0,27.0,3,0,1.0,0.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Ghana,3,46.0,38.0,8,0,1.0,1.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Iran,3,38.0,26.0,7,0,1.0,0.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Japan,4,58.0,36.0,6,0,0.0,1.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Mexico,3,51.0,48.0,7,0,0.0,1.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Morocco,7,96.0,81.0,9,1,0.0,0.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Netherlands,5,87.0,50.0,12,1,0.0,1.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Poland,4,47.0,47.0,7,0,1.0,2.0,2,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Portugal,5,55.0,65.0,6,0,1.0,0.0,2,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Qatar,3,31.0,45.0,7,0,0.0,1.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Saudi Arabia,3,56.0,38.0,14,0,1.0,1.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Senegal,4,48.0,57.0,7,0,1.0,0.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Serbia,3,43.0,28.0,12,0,0.0,0.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,South Korea,4,45.0,34.0,7,0,0.0,1.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Spain,4,41.0,46.0,2,0,1.0,0.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Switzerland,4,53.0,49.0,9,0,0.0,0.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Tunisia,3,40.0,28.0,5,0,0.0,0.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,United States,4,45.0,40.0,5,0,0.0,1.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Uruguay,3,34.0,36.0,8,0,0.0,2.0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Wales,3,35.0,33.0,5,1,1.0,0.0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2026,Algeria,4,29.0,40.0,3,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Argentina,7,88.0,79.0,9,0,,,3,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Australia,4,46.0,38.0,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Austria,4,47.0,28.0,5,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Belgium,6,78.0,68.0,6,1,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Bosnia and Herzegovina,4,60.0,38.0,7,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Brazil,5,51.0,53.0,8,0,,,2,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Canada,5,72.0,73.0,11,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Cape Verde,4,27.0,47.0,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Colombia,5,70.0,64.0,8,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Croatia,4,45.0,47.0,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Curaçao,3,32.0,31.0,7,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Czech Republic,3,37.0,31.0,1,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,DR Congo,4,44.0,45.0,6,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Ecuador,4,49.0,38.0,8,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Egypt,5,59.0,67.0,12,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,England,7,73.0,102.0,8,1,,,2,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,France,7,70.0,65.0,6,0,,,2,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Germany,4,51.0,42.0,3,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Ghana,4,56.0,47.0,6,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Haiti,3,55.0,44.0,7,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Iran,3,35.0,23.0,6,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Iraq,3,27.0,31.0,4,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Ivory Coast,4,29.0,36.0,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Japan,4,55.0,30.0,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Jordan,3,31.0,21.0,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Mexico,5,58.0,47.0,4,1,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Morocco,6,74.0,90.0,7,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Netherlands,4,44.0,43.0,3,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,New Zealand,3,32.0,24.0,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Norway,6,58.0,41.0,3,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Panama,3,46.0,33.0,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Paraguay,5,66.0,60.0,9,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Portugal,5,44.0,60.0,7,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Qatar,3,36.0,28.0,4,2,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Saudi Arabia,3,29.0,26.0,6,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Scotland,3,42.0,39.0,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Senegal,4,36.0,48.0,3,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,South Africa,4,38.0,46.0,5,2,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,South Korea,3,25.0,31.0,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Spain,7,80.0,66.0,6,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Sweden,4,43.0,49.0,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Switzerland,6,87.0,89.0,8,1,,,2,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Tunisia,3,27.0,32.0,1,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Turkey,3,31.0,38.0,2,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,United States,5,56.0,66.0,7,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Uruguay,3,31.0,29.0,5,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Uzbekistan,3,45.0,29.0,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
