tournament_year,team,matches_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,penalties_won,penalties_conceded,penalty_kicks_attempted,source_url
2014,South Korea,3,,,6,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Spain,3,,,3,0,,,1,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Switzerland,4,,,3,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,United States,4,,,4,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Uruguay,4,,,9,0,,,1,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2018,Argentina,4,56,75,11,0,1,2,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Australia,3,37,31,7,0,0,1,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Belgium,7,99,74,11,0,1,0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Brazil,5,49,72,7,0,0,0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Colombia,4,63,52,9,1,0,2,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Costa Rica,3,43,34,6,0,1,0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Croatia,7,112,107,15,0,2,2,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Denmark,4,54,29,6,0,0,3,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Egypt,3,38,22,5,0,1,2,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,England,7,70,101,8,0,3,1,3,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,France,7,93,103,12,0,2,1,3,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Germany,3,29,41,4,1,0,0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Iceland,3,35,26,3,0,1,1,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Iran,3,44,45,7,0,0,1,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Japan,4,38,47,5,0,0,0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Mexico,4,53,47,9,0,0,1,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Morocco,3,61,37,8,0,0,0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Nigeria,3,45,44,4,0,1,2,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Panama,3,50,47,11,0,0,2,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Peru,3,37,38,5,0,1,0,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Poland,3,31,33,3,0,0,0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Portugal,4,55,59,7,0,2,1,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Russia,5,95,56,8,1,0,1,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Saudi Arabia,3,30,45,1,0,1,0,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Senegal,3,43,30,6,0,0,0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Serbia,3,44,38,9,0,0,0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,South Korea,3,63,33,10,0,0,2,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Spain,4,34,58,2,0,0,2,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Sweden,5,66,63,8,0,2,0,2,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Switzerland,4,54,52,9,0,0,1,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Tunisia,3,46,36,4,0,1,1,1,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2018,Uruguay,5,63,69,3,0,0,0,0,https://web.archive.org/web/20260716203607/https://fbref.com/en/comps/1/2018/misc/2018-FIFA-World-Cup-Stats
2022,Argentina,7,100,115,19,0,5,2,5,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Australia,4,52,34,7,0,0,0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Belgium,3,30,35,5,0,0,1,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Brazil,5,63,74,6,0,1,0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Cameroon,3,32,38,8,1,0,0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Canada,3,33,37,8,0,0,0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Costa Rica,3,24,37,6,0,0,1,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Croatia,7,90,90,8,0,0,1,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Denmark,3,28,23,5,0,0,0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Ecuador,3,50,37,3,0,1,1,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,England,5,53,65,1,0,2,1,2,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,France,7,69,85,8,0,1,4,2,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Germany,3,26,27,3,0,1,0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Ghana,3,46,38,8,0,1,1,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Iran,3,38,26,7,0,1,0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Japan,4,58,36,6,0,0,1,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Mexico,3,51,48,7,0,0,1,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Morocco,7,96,81,9,1,0,0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Netherlands,5,87,50,12,1,0,1,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Poland,4,47,47,7,0,1,2,2,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Portugal,5,55,65,6,0,1,0,2,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Qatar,3,31,45,7,0,0,1,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Saudi Arabia,3,56,38,14,0,1,1,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Senegal,4,48,57,7,0,1,0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Serbia,3,43,28,12,0,0,0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,South Korea,4,45,34,7,0,0,1,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Spain,4,41,46,2,0,1,0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Switzerland,4,53,49,9,0,0,0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Tunisia,3,40,28,5,0,0,0,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,United States,4,45,40,5,0,0,1,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Uruguay,3,34,36,8,0,0,2,0,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2022,Wales,3,35,33,5,1,1,0,1,https://web.archive.org/web/20260716203158/https://fbref.com/en/comps/1/2022/misc/2022-FIFA-World-Cup-Stats
2026,Algeria,4,29,40,3,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Argentina,7,88,79,9,0,,,3,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Australia,4,46,38,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Austria,4,47,28,5,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Belgium,6,78,68,6,1,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Bosnia and Herzegovina,4,60,38,7,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Brazil,5,51,53,8,0,,,2,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Canada,5,72,73,11,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Cape Verde,4,27,47,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Colombia,5,70,64,8,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Croatia,4,45,47,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Curaçao,3,32,31,7,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Czech Republic,3,37,31,1,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,DR Congo,4,44,45,6,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Ecuador,4,49,38,8,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Egypt,5,59,67,12,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,England,7,73,102,8,1,,,2,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,France,7,70,65,6,0,,,2,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Germany,4,51,42,3,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Ghana,4,56,47,6,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Haiti,3,55,44,7,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Iran,3,35,23,6,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Iraq,3,27,31,4,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Ivory Coast,4,29,36,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Japan,4,55,30,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Jordan,3,31,21,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Mexico,5,58,47,4,1,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Morocco,6,74,90,7,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Netherlands,4,44,43,3,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,New Zealand,3,32,24,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Norway,6,58,41,3,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Panama,3,46,33,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Paraguay,5,66,60,9,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Portugal,5,44,60,7,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Qatar,3,36,28,4,2,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Saudi Arabia,3,29,26,6,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Scotland,3,42,39,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Senegal,4,36,48,3,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,South Africa,4,38,46,5,2,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,South Korea,3,25,31,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Spain,7,80,66,6,0,,,1,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Sweden,4,43,49,5,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Switzerland,6,87,89,8,1,,,2,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Tunisia,3,27,32,1,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Turkey,3,31,38,2,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,United States,5,56,66,7,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Uruguay,3,31,29,5,1,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
2026,Uzbekistan,3,45,29,4,0,,,0,https://web.archive.org/web/20260716203655/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
