year,match_date,opponent,stage,minute,incident,direction,description,press_url,video_url,video_source
2002,2002-06-07,England,Group stage,44,"Penalty against Pochettino for challenge on Owen",against_argentina,"Pierluigi Collina awarded England a penalty when Michael Owen went down over Mauricio Pochettino's challenge in Sapporo; Beckham converted for a 1-0 England win. Pochettino insists he never touched Owen and that VAR would have overturned it; Owen later signed a photo of the incident 'You definitely touched me'.",https://www.skysports.com/football/news/12040/10694713/mauricio-pochettino-reminded-of-penalty-incident-involving-michael-owen-at-world-cup,https://www.youtube.com/watch?v=BSo6tLIsJYA,"FIFA official YouTube (World Cup Rematch)"
2010,2010-06-27,Mexico,Round of 16,26,"Tevez offside goal allowed",favored_argentina,"Carlos Tevez headed in from a clearly offside position; referee Roberto Rosetti and assistant Stefano Ayroldi let the goal stand even after the stadium big screens replayed the offside, sparking Mexican protests on the pitch. Argentina won 3-1. The incident intensified calls for video technology.",https://www.huffpost.com/entry/argentina-offsides-goal-a_n_627343,https://www.youtube.com/watch?v=H_hkYFMTxKA,"FIFA official YouTube"
2014,2014-07-13,Germany,Final,56,"Neuer's aerial challenge on Higuain - no penalty",against_argentina,"Manuel Neuer raced out and punched the ball clear while kneeing Gonzalo Higuain in the head inside the box; Italian referee Nicola Rizzoli gave the foul against Higuain rather than a penalty or card for Argentina. Germany won 1-0 in extra time.",https://www.sportskeeda.com/football/manuel-neuer-clash-against-higuain-penalty-or-not,,
2018,2018-06-26,Nigeria,Group stage,,"Rojo handball - no penalty after VAR check",favored_argentina,"The ball struck Marcos Rojo's hand off his own header in the Argentine box; referee Cuneyt Cakir consulted the VAR monitor and gave no penalty. Nigeria protested wildly and John Obi Mikel called it a clear penalty. Rojo then scored the 86th-minute winner that sent Argentina through and Nigeria out.",https://www.goal.com/en/news/mikel-claims-nigeria-denied-clear-penalty-after-rojo-handled-before-netting-argentinas-late-winner/nvxlqtpylwde1j1kgxc2sfv36,,
2022,2022-11-22,Saudi Arabia,Group stage,,"Three first-half goals disallowed for offside",against_argentina,"Lautaro Martinez (twice) and Messi had first-half goals ruled out by semi-automated offside technology, including one where Lautaro's shoulder was judged fractionally off; fans and some pundits argued the nearest defender kept him onside. The calls were technically correct per SAOT but the millimetre margins were fiercely debated. Saudi Arabia won 2-1.",https://www.espn.com/soccer/story/_/id/37634070/var-review-every-decision-world-cup-analysed,https://www.youtube.com/watch?v=spLV1gF0fkI,"FIFA official YouTube"
2022,2022-11-30,Poland,Group stage,36,"VAR penalty for Szczesny's contact on Messi",favored_argentina,"Referee Danny Makkelie awarded Argentina a penalty after a VAR review of Wojciech Szczesny's follow-through brushing Messi's face as both went for a high ball - widely panned as precisely what VAR was not brought in for; Szczesny (who bet Messi it would not be given) saved the spot-kick. Argentina won 2-0.",https://www.espn.com/soccer/story/_/id/37634438/why-lionel-messi-awarded-var-penalty,https://www.foxsports.com/watch/play-60f8e704a00004b,"FOX Sports (official broadcaster clip)"
2022,2022-12-09,Netherlands,Quarter-final,,"Mateu Lahoz loses control - record 18 yellow cards",disputed,"Spanish referee Antonio Mateu Lahoz issued a World Cup-record 18 yellow cards plus a red in the 'Battle of Lusail'; both teams raged at him, Messi said FIFA should not let him referee again, and Lahoz was reportedly sent home from the tournament. He also overlooked a possible Messi handball, and his generous stoppage time preceded the Netherlands' 90+11 equaliser. Argentina won on penalties.",https://www.espn.com/soccer/story/_/id/37634744/netherlands-vs-argentina-world-cup-quarterfinal-sees-record-18-yellow-cards,https://www.youtube.com/watch?v=0i-gsQJg7jc,"FIFA official YouTube"
2022,2022-12-18,France,Final,21,"Soft penalty for Dembele's challenge on Di Maria",favored_argentina,"Referee Szymon Marciniak pointed to the spot when Angel Di Maria went down under minimal contact from Ousmane Dembele; Messi converted the opener. French media and pundits called it soft, though analysts noted it was not the kind of call VAR overturns.",https://www.espn.com/soccer/story/_/id/37634922/world-cup-final-var-review-di-maria-penalty-otamendi-red-card,https://www.youtube.com/watch?v=zhEWqfP6V_w,"FIFA official YouTube"
2022,2022-12-18,France,Final,108,"Encroachment claim against Messi's extra-time goal",favored_argentina,"French outlets and fans argued Messi's 3-2 goal should have been disallowed because Argentine substitutes stepped onto the pitch before the ball crossed the line; IFAB clarified the law only applies if they interfere with play. Marciniak later produced a photo showing seven French players on the pitch during an Mbappe goal. A French petition for a replay went nowhere.",https://www.tntsports.co.uk/football/world-cup/2022/should-lionel-messis-second-goal-for-argentina-in-world-cup-final-against-france-have-been-disallowe_sto9282969/story.shtml,https://www.youtube.com/watch?v=zhEWqfP6V_w,"FIFA official YouTube"
2026,2026-06-22,Austria,Group stage,8,"VAR-checked early penalty to Argentina",favored_argentina,"Argentina were awarded an 8th-minute penalty for Stefan Posch's foul on Lautaro Martinez, confirmed after a VAR check; Messi fired wide. Austrian players and fans felt the contact was minimal.",https://www.espn.com/soccer/report/_/gameId/760456,,
2026,2026-06-22,Austria,Group stage,38,"Messi's record goal stands despite foul claim in build-up",favored_argentina,"Messi's record-breaking 17th World Cup goal (passing Klose) was allowed to stand despite Peter Schmeichel and others arguing Alexis Mac Allister had brought down Schlager in the build-up; FIFA-aligned analysis countered that Mac Allister won the ball first. Argentina won 2-0.",https://football360.com.au/lionel-messi-world-cup-goal-should-not-have-stood-shmeichel-says/,https://www.foxsports.com/watch/fmc-rbn4kv15hnfu43v5,"FOX Sports (official broadcaster clip)"
2026,2026-06-27,Jordan,Group stage,,"VAR-awarded penalty for foul on Senesi",favored_argentina,"After a VAR review, Jordan's Nizar Al Rashdan was penalised for a foul on Marcos Senesi in the box; Lautaro Martinez converted to make it 2-0. Jordan contested the intervention. Argentina won 3-1.",https://www.espn.com/soccer/report/_/gameId/760483,https://www.foxsports.com/watch/fmc-r0jt8ebn36y9508g,"FOX Sports (official broadcaster clip)"
2026,2026-07-07,Egypt,Round of 16,59,"Egypt goal disallowed by VAR for foul at the other end of the pitch",favored_argentina,"With Egypt 1-0 up, Mostafa Zico's breakaway goal was ruled out after VAR found Marwan Attia had tugged Lisandro Martinez's shirt and stood on his foot roughly 20 seconds earlier, about 100 yards from goal. Match commentators said the intervention was beyond VAR's normal remit; Sky Sports judged it 'rightly disallowed'. Referee Francois Letexier. Argentina came from 2-0 down to win 3-2.",https://www.aljazeera.com/sports/2026/7/7/why-was-the-second-half-of-the-argentina-vs-egypt-world-cup-game-controversial,https://www.foxsports.com/watch/fmc-ybved5vdk5xh2ieq,"FOX Sports (official broadcaster clip)"
2026,2026-07-07,Egypt,Round of 16,90+2,"No review of foul claim on Salah before Argentina's winner",favored_argentina,"Egypt appealed for Enzo Fernandez's 90+2 winner to be pulled back for a Lisandro Martinez foul on Mohamed Salah seconds earlier - a near-mirror of the earlier VAR intervention that had gone Argentina's way - but no review came. The Egyptian FA said it 'cannot remain silent' and filed an official complaint against referee Letexier's team.",https://www.espn.com/soccer/story/_/id/49305559/egypt-argentina-world-cup-2026-referee-var-knockout,,
2026,2026-07-11,Switzerland,Quarter-final,72,"Embolo 'mistaken identity' red card for simulation",favored_argentina,"Referee Joao Pinheiro booked Paredes for a foul on Breel Embolo, but VAR showed Embolo falling before contact; using the mistaken-identity mechanism the caution was transferred and Embolo - already booked - was sent off for simulation, the first such dismissal at a World Cup. Swiss coach Murat Yakin said the decision 'destroyed the game'. Argentina beat the 10 men 3-1 in extra time.",https://www.espn.com/soccer/story/_/id/49339724/switzerland-breel-embolo-red-card-diving-var-argentina-2026-world-cup,https://www.fifa.com/en/watch/1qIwgM3HEsqqpA6iiYFcXT,"FIFA+ (official highlights)"
2026,2026-07-15,England,Semi-final,,"Officiating scrutiny around Elfath appointment",disputed,"American referee Ismail Elfath took charge amid scrutiny of his unbeaten record in Messi matches (5-0 before kick-off); England fans accused him of letting Argentina 'get away with murder', while post-match analyses found no major errors and the VAR made no on-field interventions. Part of wider - and unproven - claims that officiating favoured Argentina throughout the tournament. Argentina won 2-1.",https://sports.yahoo.com/articles/argentina-vs-england-referee-facing-203124811.html,https://www.youtube.com/watch?v=oB2mK8eJli4,"FIFA official YouTube"
